,867ns,760ns,769ns,852ws,867ws,734ns,866ns,781ns,769ws,730ws,852ns,861ns,781ws,733ns,795ns,760ws,795ws,861ws,737ns,730ns,737ws,734ws,866ws,733ws
867ns,,0.9658581632528199,0.9677162580436204,0.9470222276914588,0.955021628681622,0.9664537067034228,0.960099251035683,0.9581784565948828,0.939488027899968,0.9136558517729024,0.951106680783668,0.9601979936532226,0.9352592745926124,0.919083909317437,0.9623257463573416,0.9491769952657144,0.9353312776598024,0.9308737324272977,0.9536371207240838,0.9456218509066509,0.9433829857372746,0.9364437773810836,0.9316005304283188,0.919031838598558
760ns,0.9658581632528199,,0.9811756571773194,0.9466106536604458,0.947793393655764,0.9652073883849612,0.957872323881866,0.95286967041799,0.9349447603382482,0.9081499699776671,0.96297168723267,0.9698258941738503,0.9308067816357544,0.91236791468557,0.9764480433598371,0.951974579866586,0.9322484932767208,0.9283730166695644,0.974379780214132,0.9544956406901268,0.93864077764372,0.9316265284289114,0.9273856354159409,0.914706079951179
769ns,0.9677162580436204,0.9811756571773194,,0.952579465218476,0.9564557647416916,0.9631768139788482,0.9631344456713752,0.956747792540832,0.9469047969491212,0.9146248942952412,0.9640209106785708,0.9768899290718318,0.9361319144443354,0.9194703042535592,0.9768980868247386,0.9575081449217956,0.9368305283039712,0.9342143624479076,0.9669014792577992,0.9590136429179544,0.9444839784230664,0.9379779053812524,0.9325730587650556,0.9241561438495342
852ws,0.9470222276914588,0.9466106536604458,0.952579465218476,,0.9584219966595476,0.9450343706589004,0.9405133032531932,0.9452417895640258,0.9579575014629708,0.936560969858947,0.94908732742671,0.9474870988948776,0.9511421331174201,0.9290931501259744,0.9484032802559498,0.9590484138249872,0.949112660536854,0.9446879067750046,0.9401925576076716,0.9502375240315588,0.9545129537947452,0.9518686750004268,0.9465034523121902,0.9350877624900448
867ws,0.955021628681622,0.947793393655764,0.9564557647416916,0.9584219966595476,,0.9486869075456696,0.9464871731218519,0.9453990785083868,0.9579551210050664,0.9330348303966256,0.942024426942205,0.9571552548043856,0.9514605786369972,0.9300801081419284,0.9534502072678914,0.9653885114471391,0.9537387565489994,0.9497901231433324,0.9396196641157836,0.9559949810606468,0.9628661672472499,0.9551477526080636,0.9451043748868384,0.9361996519736736
734ns,0.9664537067034228,0.9652073883849612,0.9631768139788482,0.9450343706589004,0.9486869075456696,,0.9617549092700174,0.9538402321849856,0.9326588994373191,0.91112984116163,0.9467536531819366,0.9566651922082464,0.9292133214653236,0.9162090434388879,0.9670789842180636,0.9455871551552606,0.9282265741074518,0.9305649720304594,0.9572507895914246,0.9432414485410616,0.9397995599590576,0.9316894523189722,0.9255497185795754,0.9163969907184624
866ns,0.960099251035683,0.957872323881866,0.9631344456713752,0.9405133032531932,0.9464871731218519,0.9617549092700174,,0.9516902119519032,0.930751815321572,0.9026703297169986,0.9484629012253436,0.9615979901565817,0.9275678296929442,0.9174427737288636,0.9561615996575832,0.9455434634338452,0.9273427937189536,0.9256821187033036,0.949182222330891,0.9437678838629808,0.9338539504941687,0.9284458565716348,0.9244870237381254,0.9159693424088162
781ns,0.9581784565948828,0.95286967041799,0.956747792540832,0.9452417895640258,0.9453990785083868,0.9538402321849856,0.9516902119519032,,0.9373656082776644,0.9150198935949778,0.9435555017151358,0.9548277647060855,0.9377197049183452,0.9214946952566192,0.9564886473562196,0.9478362681236514,0.9374610789158307,0.9341795380609392,0.9530228913710551,0.944987539782796,0.94023017312074,0.9361119237139498,0.9330935354348636,0.9208736291115922
769ws,0.939488027899968,0.9349447603382482,0.9469047969491212,0.9579575014629708,0.9579551210050664,0.9326588994373191,0.930751815321572,0.9373656082776644,,0.9469076863669961,0.9335789124167218,0.9431210108386912,0.9565011758091031,0.9331493152957012,0.9398116367006204,0.9588553883690112,0.9582130486803504,0.9534346688778998,0.9291152483041116,0.9492424446594784,0.9570503746680736,0.9592828926842204,0.955521382744862,0.9437768094734956
730ws,0.9136558517729024,0.9081499699776671,0.9146248942952412,0.936560969858947,0.9330348303966256,0.91112984116163,0.9026703297169986,0.9150198935949778,0.9469076863669961,,0.9045230902832184,0.9164245678628627,0.9451816500654956,0.9426863036163148,0.9157955337155956,0.9327771220768348,0.9419922183163036,0.9429439128505102,0.9057475082893024,0.9326252077854132,0.939121478693797,0.9433355042797079,0.942671086935687,0.9446922703654153
852ns,0.951106680783668,0.96297168723267,0.9640209106785708,0.94908732742671,0.942024426942205,0.9467536531819366,0.9484629012253436,0.9435555017151358,0.9335789124167218,0.9045230902832184,,0.9654877373286136,0.927178424219484,0.9137109274066736,0.96189113084818,0.9433974920087324,0.9309594546687194,0.9262092834888322,0.9547751275897252,0.9544236222242288,0.9339091354582141,0.9327382420685634,0.9257320663532944,0.9168441385475928
861ns,0.9601979936532226,0.9698258941738503,0.9768899290718318,0.9474870988948776,0.9571552548043856,0.9566651922082464,0.9615979901565817,0.9548277647060855,0.9431210108386912,0.9164245678628627,0.9654877373286136,,0.9387204313652848,0.9286663126339504,0.9710721897939087,0.9581702130413514,0.9396950393401852,0.94029187800809,0.9589595000098536,0.9641297239779952,0.9450368681528909,0.9388776498309862,0.9320131381144388,0.9288344767123756
781ws,0.9352592745926124,0.9308067816357544,0.9361319144443354,0.9511421331174201,0.9514605786369972,0.9292133214653236,0.9275678296929442,0.9377197049183452,0.9565011758091031,0.9451816500654956,0.927178424219484,0.9387204313652848,,0.9367110517016528,0.9384580907713942,0.9553081587212257,0.9639753362893648,0.9567670697876652,0.9247572309996068,0.9471639128058892,0.9558921238033118,0.9574007237148814,0.9594724095407318,0.9488780622956584
733ns,0.919083909317437,0.91236791468557,0.9194703042535592,0.9290931501259744,0.9300801081419284,0.9162090434388879,0.9174427737288636,0.9214946952566192,0.9331493152957012,0.9426863036163148,0.9137109274066736,0.9286663126339504,0.9367110517016528,,0.9171814126607952,0.9305346330176728,0.9297151661883633,0.935942414605124,0.9128400212932364,0.9361169787324924,0.9308118305829608,0.9332683021858721,0.9345006250427376,0.9437633147623674
795ns,0.9623257463573416,0.9764480433598371,0.9768980868247386,0.9484032802559498,0.9534502072678914,0.9670789842180636,0.9561615996575832,0.9564886473562196,0.9398116367006204,0.9157955337155956,0.96189113084818,0.9710721897939087,0.9384580907713942,0.9171814126607952,,0.9553497903324996,0.939258775571518,0.9356292599151288,0.9700291443569116,0.9586457725077832,0.9428605031667876,0.9383335760855602,0.9326001679330336,0.9259612246523138
760ws,0.9491769952657144,0.951974579866586,0.9575081449217956,0.9590484138249872,0.9653885114471391,0.9455871551552606,0.9455434634338452,0.9478362681236514,0.9588553883690112,0.9327771220768348,0.9433974920087324,0.9581702130413514,0.9553081587212257,0.9305346330176728,0.9553497903324996,,0.9543415193701515,0.9468160612001606,0.9382029647870752,0.9608185087738476,0.9580634859129066,0.9539477799137959,0.9516972173363604,0.9374928504043868
795ws,0.9353312776598024,0.9322484932767208,0.9368305283039712,0.949112660536854,0.9537387565489994,0.9282265741074518,0.9273427937189536,0.9374610789158307,0.9582130486803504,0.9419922183163036,0.9309594546687194,0.9396950393401852,0.9639753362893648,0.9297151661883633,0.939258775571518,0.9543415193701515,,0.957126179478552,0.9269311643818604,0.9441231620796386,0.9566964791682324,0.9593857685128444,0.9584966623276192,0.9438277261648564
861ws,0.9308737324272977,0.9283730166695644,0.9342143624479076,0.9446879067750046,0.9497901231433324,0.9305649720304594,0.9256821187033036,0.9341795380609392,0.9534346688778998,0.9429439128505102,0.9262092834888322,0.94029187800809,0.9567670697876652,0.935942414605124,0.9356292599151288,0.9468160612001606,0.957126179478552,,0.9247274482679492,0.9450143848937572,0.956594882303891,0.9546105001022814,0.9505613274168544,0.9485777822873404
737ns,0.9536371207240838,0.974379780214132,0.9669014792577992,0.9401925576076716,0.9396196641157836,0.9572507895914246,0.949182222330891,0.9530228913710551,0.9291152483041116,0.9057475082893024,0.9547751275897252,0.9589595000098536,0.9247572309996068,0.9128400212932364,0.9700291443569116,0.9382029647870752,0.9269311643818604,0.9247274482679492,,0.9528948687318772,0.9346233788036744,0.9292411149777648,0.9200157860554564,0.9125992053385884
730ns,0.9456218509066509,0.9544956406901268,0.9590136429179544,0.9502375240315588,0.9559949810606468,0.9432414485410616,0.9437678838629808,0.944987539782796,0.9492424446594784,0.9326252077854132,0.9544236222242288,0.9641297239779952,0.9471639128058892,0.9361169787324924,0.9586457725077832,0.9608185087738476,0.9441231620796386,0.9450143848937572,0.9528948687318772,,0.9480913191835412,0.9473775446678866,0.9408882570515036,0.9316773695246258
737ws,0.9433829857372746,0.93864077764372,0.9444839784230664,0.9545129537947452,0.9628661672472499,0.9397995599590576,0.9338539504941687,0.94023017312074,0.9570503746680736,0.939121478693797,0.9339091354582141,0.9450368681528909,0.9558921238033118,0.9308118305829608,0.9428605031667876,0.9580634859129066,0.9566964791682324,0.956594882303891,0.9346233788036744,0.9480913191835412,,0.9614747308190741,0.9483328868057004,0.9376536416800084
734ws,0.9364437773810836,0.9316265284289114,0.9379779053812524,0.9518686750004268,0.9551477526080636,0.9316894523189722,0.9284458565716348,0.9361119237139498,0.9592828926842204,0.9433355042797079,0.9327382420685634,0.9388776498309862,0.9574007237148814,0.9332683021858721,0.9383335760855602,0.9539477799137959,0.9593857685128444,0.9546105001022814,0.9292411149777648,0.9473775446678866,0.9614747308190741,,0.9498343429533688,0.9403782948834944
866ws,0.9316005304283188,0.9273856354159409,0.9325730587650556,0.9465034523121902,0.9451043748868384,0.9255497185795754,0.9244870237381254,0.9330935354348636,0.955521382744862,0.942671086935687,0.9257320663532944,0.9320131381144388,0.9594724095407318,0.9345006250427376,0.9326001679330336,0.9516972173363604,0.9584966623276192,0.9505613274168544,0.9200157860554564,0.9408882570515036,0.9483328868057004,0.9498343429533688,,0.940703391890114
733ws,0.919031838598558,0.914706079951179,0.9241561438495342,0.9350877624900448,0.9361996519736736,0.9163969907184624,0.9159693424088162,0.9208736291115922,0.9437768094734956,0.9446922703654153,0.9168441385475928,0.9288344767123756,0.9488780622956584,0.9437633147623674,0.9259612246523138,0.9374928504043868,0.9438277261648564,0.9485777822873404,0.9125992053385884,0.9316773695246258,0.9376536416800084,0.9403782948834944,0.940703391890114,
